Year,Squad,Poss,xG,npxG,xA,Sh/90,SoT/90,npxG/Sh,G-xG,KP,PTF3,PPA,CrsPA,Prog,xGD/90,PSxG,PSxG/SoT,PSxG+/-,Standings
2020/21,Fulham,49.9,1.07,0.97,0.73,11.58,3.24,0.08,-0.38,8.82,26.1,8.18,2.63,30,-0.33,1.54,0.33,0.17,18
2020/21,Leeds United,57.6,1.51,1.43,1.12,13.79,5.16,0.11,0.07,10.3,29.2,9.79,2.29,37.1,-0.14,1.57,0.27,0.2,9
2020/21,Leicester City,54.6,1.47,1.23,0.87,12.42,4.53,0.1,0.21,9.13,30.6,8,1.68,32.8,0.22,1.28,0.34,0.01,5
2020/21,Liverpool,62.4,1.91,1.79,1.32,15.79,5.29,0.12,-0.2,11.7,45.8,14.5,2.58,50.4,0.72,1.26,0.33,0.16,3
2020/21,Manchester City,63.9,1.93,1.75,1.34,15.53,5.61,0.12,0.23,11.6,48.2,11.8,1.21,43,1.1,0.85,0.27,0.03,1
2020/21,Manchester Utd,55.8,1.58,1.37,1.07,13.61,5.18,0.1,0.26,10.6,35.9,10.4,1.71,39.5,0.47,1.11,0.29,0,2
2020/21,Newcastle Utd,38.2,1.08,0.93,0.69,10.18,3.42,0.09,0.08,7.16,18.2,5.68,1.95,20,-0.34,1.49,0.29,-0.07,12
2020/21,Sheffield Utd,41.5,0.83,0.75,0.59,8.39,2.42,0.09,-0.33,6.45,25.2,7.05,1.68,26,-0.82,1.63,0.29,0.05,20
2020/21,Southampton,52.2,1.12,1,0.72,10.97,4.13,0.09,0.12,7.58,23.4,7.21,1.08,28.6,-0.31,1.49,0.3,-0.27,15
2020/21,Tottenham,51.7,1.43,1.33,0.93,11.63,4.37,0.12,0.3,8.08,28.4,7.34,1.58,31.1,0.13,1.24,0.28,0.13,7
2020/21,West Brom,37.6,0.89,0.81,0.56,8.84,2.82,0.09,-0.02,6.05,20.8,5.37,1.92,23,-0.89,2.03,0.3,0.11,19
2020/21,West Ham,42.9,1.42,1.33,0.97,12.16,4.16,0.11,0.16,8.71,24.8,6.95,2.71,25.4,0.15,1.27,0.32,0.14,6
2020/21,Wolves,49.3,1.05,0.97,0.69,12.16,3.92,0.08,-0.16,9.11,27.1,5.68,2.11,27.2,-0.16,1.2,0.28,-0.09,13
